4913	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4911	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4909	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.9 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4907	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4903	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4894	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4889	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4888	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4880	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4868	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4863	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4862	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4859	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4853	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4851	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4829	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4828	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4824	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4820	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4814	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4812	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4802	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4799	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4769	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
